Topology,Where,IsBackBone,Number of Nodes,Number of Edges,Replication Average per Node,Max Replication,State Overhead,MPolka CRC8,MPolka CRC16,MPINT,INT Clássico
Nordu1997,DataPlane,1,14,13,1.7142857142857142,9,62,785,876,819,3260
Nordu1997,ControlPlane,1,14,13,1.7142857142857142,9,62,756,840,820,1924
HiberniaCanada,DataPlane,1,13,14,1.3076923076923077,2,47,1692,1776,1808,4981
HiberniaCanada,ControlPlane,1,13,14,1.3076923076923077,2,47,666,708,744,1560
Rnp,DataPlane,1,31,34,1.3870967741935485,5,117,5046,5256,5566,16731
Rnp,ControlPlane,1,31,34,1.3870967741935485,5,117,1586,1684,1856,4784
Cesnet200603,DataPlane,1,39,44,1.6153846153846154,9,165,2734,3000,3018,13722
Cesnet200603,ControlPlane,1,39,44,1.6153846153846154,9,165,2054,2236,2348,6188
VisionNet,DataPlane,0,24,23,1.25,2,84,4051,4212,4513,14345
VisionNet,ControlPlane,0,24,23,1.25,2,84,1208,1264,1432,3640
Darkstrand,DataPlane,1,28,31,1.1428571428571428,2,92,4311,4500,4561,6625
Darkstrand,ControlPlane,1,28,31,1.1428571428571428,2,92,1386,1428,1500,2028
GtsRomania,DataPlane,1,21,24,1.5238095238095237,10,85,1588,1728,1680,4290
GtsRomania,ControlPlane,1,21,24,1.5238095238095237,10,85,1099,1190,1196,2444
Jgn2Plus,DataPlane,1,18,17,1.5,7,72,1429,1548,1511,4894
Jgn2Plus,ControlPlane,1,18,17,1.5,7,72,941,1018,1044,2340
Bellsouth,DataPlane,1,51,66,1.6470588235294117,14,219,3658,4008,4150,23434
Bellsouth,ControlPlane,1,51,66,1.6470588235294117,14,219,2693,2938,3168,9360
HiberniaGlobal,DataPlane,1,55,81,1.3454545454545455,4,203,8862,9240,10310,44865
HiberniaGlobal,ControlPlane,1,55,81,1.3454545454545455,4,203,2787,2934,3408,9984
Renater2001,DataPlane,1,24,27,1.5416666666666667,7,98,1891,2052,2025,7580
Renater2001,ControlPlane,1,24,27,1.5416666666666667,7,98,1257,1362,1412,3380
Mren,DataPlane,0,6,5,1.5,4,24,313,348,319,1000
Mren,ControlPlane,0,6,5,1.5,4,24,323,358,340,676
GtsSlovakia,DataPlane,1,35,37,1.7428571428571429,13,157,2138,2376,2326,11397
GtsSlovakia,ControlPlane,1,35,37,1.7428571428571429,13,157,1876,2072,2116,5668
Sprint,DataPlane,1,11,18,1.4545454545454546,5,43,866,936,930,3082
Sprint,ControlPlane,1,11,18,1.4545454545454546,5,43,577,626,640,1456
Navigata,DataPlane,1,13,17,1.6153846153846154,4,55,828,912,892,4389
Navigata,ControlPlane,1,13,17,1.6153846153846154,4,55,694,764,776,1976
Renater2010,DataPlane,1,43,56,1.4651162790697674,6,169,4338,4632,4770,16921
Renater2010,ControlPlane,1,43,56,1.4651162790697674,6,169,2218,2372,2548,6292
PionierL1,DataPlane,1,36,41,1.25,2,126,4783,5028,5405,14496
PionierL1,ControlPlane,1,36,41,1.25,2,126,1805,1882,2060,4316
Iris,DataPlane,1,51,64,1.3333333333333333,5,187,5578,5928,6086,14817
Iris,ControlPlane,1,51,64,1.3333333333333333,5,187,2581,2714,2884,5668
Latnet,DataPlane,0,69,74,1.5942028985507246,29,289,6436,6912,7336,34377
Latnet,ControlPlane,0,69,74,1.5942028985507246,29,289,3613,3914,4276,12532
Napnet,DataPlane,0,6,7,1.1666666666666667,2,20,553,588,563,1005
Napnet,ControlPlane,0,6,7,1.1666666666666667,2,20,309,330,328,520
