Topology,IsBackBone,Number of Nodes,Number of Edges,Replication Average per Node,Max Replication,State Overhead,Star Probability,Where,MPINT,MPolka CRC8,MPolka CRC16,INT Clássico
Nordu1997,1,14,13,1.7142857142857142,9,62,0.7142857142857143,DataPlane,819,924.0,1106.0,1641
Nordu1997,1,14,13,1.7142857142857142,9,62,0.7142857142857143,ControlPlane,780,840.0,1008.0,1404
HiberniaCanada,1,13,14,1.2307692307692308,2,45,0.23076923076923078,DataPlane,1820,1812.0,1968.0,2639
HiberniaCanada,1,13,14,1.2307692307692308,2,45,0.23076923076923078,ControlPlane,712,689.0,754.0,1144
Rnp,1,31,34,1.3548387096774193,6,115,0.22580645161290322,DataPlane,3334,3894.0,4824.0,6226
Rnp,1,31,34,1.3548387096774193,6,115,0.22580645161290322,ControlPlane,1708,1891.0,2294.0,2860
Cesnet200603,1,39,44,1.6666666666666667,12,169,0.3333333333333333,DataPlane,2698,3854.0,5336.0,7322
Cesnet200603,1,39,44,1.6666666666666667,12,169,0.3333333333333333,ControlPlane,2212,2964.0,4056.0,4420
VisionNet,0,24,23,1.25,2,84,0.125,DataPlane,3545,3722.0,4274.0,7833
VisionNet,0,24,23,1.25,2,84,0.125,ControlPlane,1344,1344.0,1536.0,2496
Darkstrand,1,28,31,1.1428571428571428,2,92,0.10714285714285714,DataPlane,7757,7902.0,8658.0,9569
Darkstrand,1,28,31,1.1428571428571428,2,92,0.10714285714285714,ControlPlane,1504,1512.0,1680.0,2080
GtsRomania,1,21,24,1.5238095238095237,9,85,0.47619047619047616,DataPlane,1672,1916.0,2336.0,3218
GtsRomania,1,21,24,1.5238095238095237,9,85,0.47619047619047616,ControlPlane,1164,1281.0,1554.0,2028
Jgn2Plus,1,18,17,1.5,7,72,0.4444444444444444,DataPlane,1423,1568.0,1874.0,3478
Jgn2Plus,1,18,17,1.5,7,72,0.4444444444444444,ControlPlane,1004,1062.0,1260.0,1820
Bellsouth,1,51,66,1.6470588235294117,14,219,0.29411764705882354,DataPlane,3774,5858.0,8408.0,11352
Bellsouth,1,51,66,1.6470588235294117,14,219,0.29411764705882354,ControlPlane,2920,4233.0,6018.0,6136
HiberniaGlobal,1,55,81,1.3272727272727274,5,201,0.10909090909090909,DataPlane,7346,9294.0,12264.0,17892
HiberniaGlobal,1,55,81,1.3272727272727274,5,201,0.10909090909090909,ControlPlane,3124,3740.0,4840.0,6292
