Topology,Where,IsBackBone,Number of Nodes,Number of Edges,Replication Average per Node,Max Replication,State Overhead,MPolka CRC8,MPolka CRC16,MPINT,INT Clássico
Nordu1997,DataPlane,1,14,13,1.7142857142857142,9,62,785,876,771,1641
Nordu1997,ControlPlane,1,14,13,1.7142857142857142,9,62,756,840,780,1404
HiberniaCanada,DataPlane,1,13,14,1.1538461538461537,2,43,1596,1680,1660,2332
HiberniaCanada,ControlPlane,1,13,14,1.1538461538461537,2,43,652,680,692,884
Rnp,DataPlane,1,31,34,1.3548387096774193,4,115,4038,4248,4250,7199
Rnp,ControlPlane,1,31,34,1.3548387096774193,4,115,1579,1670,1712,2912
Cesnet200603,DataPlane,1,39,44,1.6153846153846154,10,165,2782,3048,2954,10855
Cesnet200603,ControlPlane,1,39,44,1.6153846153846154,10,165,2054,2236,2276,5252
VisionNet,DataPlane,0,24,23,1.25,2,84,3187,3348,3401,7068
VisionNet,ControlPlane,0,24,23,1.25,2,84,1208,1264,1344,2496
Darkstrand,DataPlane,1,28,31,1.1071428571428572,2,90,5751,5940,6121,8638
Darkstrand,ControlPlane,1,28,31,1.1071428571428572,2,90,1379,1414,1496,1976
GtsRomania,DataPlane,1,21,24,1.5238095238095237,10,85,1588,1728,1604,2708
GtsRomania,ControlPlane,1,21,24,1.5238095238095237,10,85,1099,1190,1152,1872
Jgn2Plus,DataPlane,1,18,17,1.5,7,72,1525,1644,1567,3728
Jgn2Plus,ControlPlane,1,18,17,1.5,7,72,941,1018,1004,1820
Bellsouth,DataPlane,1,51,66,1.607843137254902,9,215,3946,4296,4174,14328
Bellsouth,ControlPlane,1,51,66,1.607843137254902,9,215,2679,2910,2968,6760
HiberniaGlobal,DataPlane,1,55,81,1.3272727272727274,4,201,7470,7848,8258,23651
HiberniaGlobal,ControlPlane,1,55,81,1.3272727272727274,4,201,2780,2920,3172,6916
Renater2001,DataPlane,1,24,27,1.5,7,96,2131,2292,2205,4884
Renater2001,ControlPlane,1,24,27,1.5,7,96,1250,1348,1344,2496
Mren,DataPlane,0,6,5,1.5,4,24,313,348,303,495
Mren,ControlPlane,0,6,5,1.5,4,24,323,358,328,520
GtsSlovakia,DataPlane,1,35,37,1.6857142857142857,12,153,2522,2760,2670,10976
GtsSlovakia,ControlPlane,1,35,37,1.6857142857142857,12,153,1862,2044,2080,5200
Sprint,DataPlane,1,11,18,1.3636363636363635,4,41,866,936,870,1401
Sprint,ControlPlane,1,11,18,1.3636363636363635,4,41,570,612,596,884
Navigata,DataPlane,1,13,17,1.6153846153846154,5,55,828,912,840,2349
Navigata,ControlPlane,1,13,17,1.6153846153846154,5,55,694,764,740,1508
Renater2010,DataPlane,1,43,56,1.372093023255814,8,161,6018,6312,6438,12918
Renater2010,ControlPlane,1,43,56,1.372093023255814,8,161,2190,2316,2404,4420
PionierL1,DataPlane,1,36,41,1.3055555555555556,3,130,4015,4260,4445,12037
PionierL1,ControlPlane,1,36,41,1.3055555555555556,3,130,1819,1910,2060,4316
Iris,DataPlane,1,51,64,1.3529411764705883,5,189,6874,7224,7602,25582
Iris,ControlPlane,1,51,64,1.3529411764705883,5,189,2588,2728,2988,7020
Latnet,DataPlane,0,69,74,1.565217391304348,25,285,6580,7056,6912,18334
Latnet,ControlPlane,0,69,74,1.565217391304348,25,285,3599,3886,3920,7904
Napnet,DataPlane,0,6,7,1.1666666666666667,2,20,553,588,555,651
Napnet,ControlPlane,0,6,7,1.1666666666666667,2,20,309,330,320,416
VtlWavenet2011,DataPlane,1,92,96,1.076086956521739,2,290,42983,43620,48509,85711
VtlWavenet2011,ControlPlane,1,92,96,1.076086956521739,2,290,4479,4542,5068,8476
Restena,DataPlane,1,19,21,1.4736842105263157,5,75,1578,1704,1678,4847
Restena,ControlPlane,1,19,21,1.4736842105263157,5,75,989,1066,1092,2340
Garr200112,DataPlane,1,24,26,1.75,9,108,1411,1572,1417,3943
Garr200112,ControlPlane,1,24,26,1.75,9,108,1292,1432,1364,2756
Claranet,DataPlane,1,15,18,1.3333333333333333,3,55,1366,1464,1414,2473
Claranet,ControlPlane,1,15,18,1.3333333333333333,3,55,769,818,816,1248
EliBackbone,DataPlane,1,20,30,1.25,3,70,2543,2676,2669,5679
EliBackbone,ControlPlane,1,20,30,1.25,3,70,1009,1058,1112,1976
Xeex,DataPlane,1,24,34,1.25,2,84,3667,3828,3873,7890
Xeex,ControlPlane,1,24,34,1.25,2,84,1208,1264,1336,2392
Cesnet200706,DataPlane,1,44,51,1.6818181818181819,13,192,2951,3252,3145,13011
Cesnet200706,ControlPlane,1,44,51,1.6818181818181819,13,192,2336,2560,2604,6396
HiberniaIreland,DataPlane,1,8,8,1.375,3,30,563,612,569,1203
HiberniaIreland,ControlPlane,1,8,8,1.375,3,30,419,454,440,728
Abilene,DataPlane,1,11,14,1.0,1,33,1730,1800,1790,2030
Abilene,ControlPlane,1,11,14,1.0,1,33,542,556,576,624
Cesnet2001,DataPlane,1,23,23,1.608695652173913,10,97,1790,1944,1810,3859
Cesnet2001,ControlPlane,1,23,23,1.608695652173913,10,97,1216,1328,1284,2340
GtsPoland,DataPlane,1,33,37,1.303030303030303,6,119,4960,5184,5224,9712
GtsPoland,ControlPlane,1,33,37,1.303030303030303,6,119,1668,1752,1828,3172
Globalcenter,DataPlane,1,9,36,1.6666666666666667,7,39,472,528,456,792
Globalcenter,ControlPlane,1,9,36,1.6666666666666667,7,39,488,544,496,832
Evolink,DataPlane,1,37,45,1.4054054054054055,7,141,4596,4848,4880,11712
Evolink,ControlPlane,1,37,45,1.4054054054054055,7,141,1895,2014,2104,4264
