Topology,Where,IsBackBone,Number of Nodes,Number of Edges,Replication Average per Node,Max Replication,State Overhead,MPolka CRC8,MPolka CRC16,MPINT,INT Clássico
Isis,DataPlane,1,7,6,1.1428571428571428,2,23,606,648,618,1156
Isis,ControlPlane,1,7,6,1.1428571428571428,2,23,357,378,380,572
GEANT,DataPlane,1,27,38,1.5185185185185186,6,109,2290,2472,2398,6701
GEANT,ControlPlane,1,27,38,1.5185185185185186,6,109,1408,1520,1548,3276
GARR,DataPlane,1,54,68,1.6666666666666667,7,234,3817,4188,4283,23919
GARR,ControlPlane,1,54,68,1.6666666666666667,7,234,2858,3124,3332,9620
Hibernia Atlantic ,DataPlane,1,55,81,1.3454545454545455,4,203,8046,8424,9078,30658
Hibernia Atlantic ,ControlPlane,1,55,81,1.3454545454545455,4,203,2787,2934,3256,8008
IRIS Networks ,DataPlane,1,51,64,1.3333333333333333,5,187,5578,5928,5962,12898
IRIS Networks ,ControlPlane,1,51,64,1.3333333333333333,5,187,2581,2714,2840,5096
Compuserve,DataPlane,0,14,17,1.5,6,56,929,1020,975,2822
Compuserve,ControlPlane,0,14,17,1.5,6,56,735,798,796,1612
Navigata ,DataPlane,1,13,17,1.6153846153846154,4,55,828,912,892,4389
Navigata ,ControlPlane,1,13,17,1.6153846153846154,4,55,694,764,776,1976
WIDE,DataPlane,1,30,33,1.6666666666666667,7,130,2065,2268,2139,6582
WIDE,ControlPlane,1,30,33,1.6666666666666667,7,130,1594,1748,1728,3744
Noel Communications ,DataPlane,1,19,25,1.368421052631579,4,71,1626,1752,1702,3738
Noel Communications ,ControlPlane,1,19,25,1.368421052631579,4,71,975,1038,1056,1872
LITNET,DataPlane,1,43,43,1.8372093023255813,11,201,2514,2808,2806,19888
LITNET,ControlPlane,1,43,43,1.8372093023255813,11,201,2330,2596,2716,8476
ARPANET,DataPlane,1,25,28,1.2,2,85,3480,3648,3684,6360
ARPANET,ControlPlane,1,25,28,1.2,2,85,1249,1298,1368,2184
Janet External,DataPlane,1,12,10,1.25,4,40,669,732,671,1349
Janet External,ControlPlane,1,12,10,1.25,4,40,529,578,552,936
DFN,DataPlane,1,58,87,1.6206896551724137,10,246,4461,4860,4975,24476
DFN,ControlPlane,1,58,87,1.6206896551724137,10,246,3050,3316,3548,9932
FORTHNET,DataPlane,1,62,62,1.7903225806451613,19,284,3809,4236,4247,26176
FORTHNET,ControlPlane,1,62,62,1.7903225806451613,19,284,3333,3690,3856,11440
BT Asia-Pacific,DataPlane,1,20,31,1.65,11,86,1391,1524,1465,5285
BT Asia-Pacific,ControlPlane,1,20,31,1.65,11,86,1065,1170,1168,2704
Hibernia Atlantic (Ireland),DataPlane,1,8,8,1.25,3,28,659,708,661,901
Hibernia Atlantic (Ireland),ControlPlane,1,8,8,1.25,3,28,412,440,428,572
ARPANET,DataPlane,1,29,32,1.1379310344827587,2,95,4940,5136,5292,8076
ARPANET,ControlPlane,1,29,32,1.1379310344827587,2,95,1434,1476,1580,2444
US Carrier,DataPlane,1,158,189,1.2848101265822784,5,564,26081,27180,31359,125676
US Carrier,ControlPlane,1,158,189,1.2848101265822784,5,564,7913,8242,9716,27716
GTS Hungary,DataPlane,1,30,31,1.5666666666666667,16,124,2497,2700,2647,7825
GTS Hungary,ControlPlane,1,30,31,1.5666666666666667,16,124,1573,1706,1720,3640
Renater,DataPlane,1,30,36,1.5333333333333334,13,122,2497,2700,2667,8788
Renater,ControlPlane,1,30,36,1.5333333333333334,13,122,1566,1692,1752,4056
GRENA,DataPlane,0,16,15,1.3125,2,58,1515,1620,1633,4773
GRENA,ControlPlane,0,16,15,1.3125,2,58,817,866,908,1820
iSTAR,DataPlane,1,23,23,1.608695652173913,5,97,1598,1752,1662,5379
iSTAR,ControlPlane,1,23,23,1.608695652173913,5,97,1216,1328,1324,2860
CESNET,DataPlane,1,13,12,1.6923076923076923,8,57,780,864,812,3109
CESNET,ControlPlane,1,13,12,1.6923076923076923,8,57,701,778,760,1768
ARN,DataPlane,1,30,29,1.8,11,138,1729,1932,1851,9404
ARN,ControlPlane,1,30,29,1.8,11,138,1622,1804,1812,4836
Bell South ,DataPlane,1,51,66,1.6470588235294117,14,219,3658,4008,4094,22144
Bell South ,ControlPlane,1,51,66,1.6470588235294117,14,219,2693,2938,3136,8944
Hibernia Atlantic (US),DataPlane,1,22,29,1.2272727272727273,3,76,2697,2844,2851,5642
Hibernia Atlantic (US),ControlPlane,1,22,29,1.2272727272727273,3,76,1105,1154,1204,1924
YorkDataServices,DataPlane,0,23,24,1.173913043478261,3,77,3374,3528,3682,8784
YorkDataServices,ControlPlane,0,23,24,1.173913043478261,3,77,1146,1188,1280,2288
TelecomSerbia,DataPlane,0,6,6,1.0,1,18,601,636,607,703
TelecomSerbia,ControlPlane,0,6,6,1.0,1,18,302,316,316,364
BT Europe,DataPlane,1,24,37,1.625,11,102,1603,1764,1673,5228
BT Europe,ControlPlane,1,24,37,1.625,11,102,1271,1390,1384,3016
ACOnet,DataPlane,1,23,31,1.6521739130434783,7,99,1502,1656,1566,5374
ACOnet,ControlPlane,1,23,31,1.6521739130434783,7,99,1223,1342,1336,3016
ATMnet,DataPlane,1,21,22,1.1904761904761905,2,71,2596,2736,2808,5256
ATMnet,ControlPlane,1,21,22,1.1904761904761905,2,71,1050,1092,1160,1976
ULAKNET,DataPlane,1,82,82,1.8902439024390243,56,392,4629,5196,5087,31923
ULAKNET,ControlPlane,1,82,82,1.8902439024390243,56,392,4461,4986,5112,15288
NORDU,DataPlane,1,18,17,1.3333333333333333,7,63,934,1032,1018,4748
NORDU,ControlPlane,1,18,17,1.3333333333333333,7,63,797,874,896,2288
AboveNet,DataPlane,1,23,31,1.2608695652173914,3,81,2990,3144,3114,4810
AboveNet,ControlPlane,1,23,31,1.2608695652173914,3,81,1160,1216,1248,1872
Hurricane Electric ,DataPlane,1,24,37,1.5833333333333333,5,100,1747,1908,1829,6040
Hurricane Electric ,ControlPlane,1,24,37,1.5833333333333333,5,100,1264,1376,1388,3068
NSF,DataPlane,1,13,15,1.3076923076923077,3,47,1164,1248,1192,2213
NSF,ControlPlane,1,13,15,1.3076923076923077,3,47,666,708,712,1144
INS IXC Services ,DataPlane,1,33,41,1.303030303030303,3,119,4096,4320,4384,11336
INS IXC Services ,ControlPlane,1,33,41,1.303030303030303,3,119,1668,1752,1876,3796
Carnet,DataPlane,1,44,43,1.75,17,198,2759,3060,2953,12736
Carnet,ControlPlane,1,44,43,1.75,17,198,2357,2602,2624,6656
UUNET,DataPlane,1,49,84,1.5714285714285714,7,203,3696,4032,4004,15274
UUNET,ControlPlane,1,49,84,1.5714285714285714,7,203,2562,2772,2888,6968
MARNET,DataPlane,0,20,27,1.75,16,90,1151,1284,1193,4208
MARNET,ControlPlane,0,20,27,1.75,16,90,1079,1198,1164,2652
GoodNet,DataPlane,1,17,31,1.4705882352941178,6,67,1328,1440,1396,3832
GoodNet,ControlPlane,1,17,31,1.4705882352941178,6,67,886,956,972,2028
NORDU,DataPlane,1,14,13,1.7142857142857142,9,62,785,876,819,3260
NORDU,ControlPlane,1,14,13,1.7142857142857142,9,62,756,840,820,1924
URAN,DataPlane,1,24,24,1.4166666666666667,8,92,2323,2484,2541,8536
URAN,ControlPlane,1,24,24,1.4166666666666667,8,92,1236,1320,1416,3432
Packet Exchange,DataPlane,1,21,27,1.3333333333333333,3,77,2356,2496,2528,7308
Packet Exchange,ControlPlane,1,21,27,1.3333333333333333,3,77,1071,1134,1208,2600
KREONET,DataPlane,1,13,12,1.6153846153846154,8,55,828,912,860,2760
KREONET,ControlPlane,1,13,12,1.6153846153846154,8,55,694,764,748,1612
GEANT,DataPlane,1,34,52,1.411764705882353,6,130,3189,3420,3331,6966
GEANT,ControlPlane,1,34,52,1.411764705882353,6,130,1744,1856,1888,3328
BICS,DataPlane,1,33,48,1.4545454545454546,4,129,2752,2976,2956,9219
BICS,ControlPlane,1,33,48,1.4545454545454546,4,129,1703,1822,1908,4212
Xspedius,DataPlane,1,34,49,1.4411764705882353,5,132,2997,3228,3131,7471
Xspedius,ControlPlane,1,34,49,1.4411764705882353,5,132,1751,1870,1904,3536
Reuna,DataPlane,1,37,36,1.4594594594594594,5,145,3348,3600,3936,20113
Reuna,ControlPlane,1,37,36,1.4594594594594594,5,145,1909,2042,2304,6864
ARPANET,DataPlane,1,9,10,1.3333333333333333,2,33,760,816,800,2223
ARPANET,ControlPlane,1,9,10,1.3333333333333333,2,33,467,502,508,988
GTS Czech Republic,DataPlane,1,32,33,1.46875,6,126,3083,3300,3553,19942
GTS Czech Republic,ControlPlane,1,32,33,1.46875,6,126,1655,1774,1992,5928
NIIF,DataPlane,1,36,41,1.5555555555555556,12,148,2767,3012,2909,7815
NIIF,ControlPlane,1,36,41,1.5555555555555556,12,148,1882,2036,2052,4212
GTS CE,DataPlane,1,149,193,1.348993288590604,5,551,19748,20784,24312,122324
GTS CE,ControlPlane,1,149,193,1.348993288590604,5,551,7530,7908,9504,30576
Renater,DataPlane,1,33,43,1.5454545454545454,9,135,2512,2736,2712,9865
Renater,ControlPlane,1,33,43,1.5454545454545454,9,135,1724,1864,1940,4628
Itnet,DataPlane,1,11,10,1.7272727272727273,9,49,578,648,594,2250
Itnet,ControlPlane,1,11,10,1.7272727272727273,9,49,598,668,640,1456
GlobalCenter,DataPlane,1,9,36,1.6666666666666667,7,39,472,528,456,792
GlobalCenter,ControlPlane,1,9,36,1.6666666666666667,7,39,488,544,496,832
peer1,DataPlane,1,16,20,1.3125,4,58,1371,1476,1429,2879
peer1,ControlPlane,1,16,20,1.3125,4,58,817,866,880,1456
CWIX,DataPlane,1,36,41,1.5277777777777777,9,146,3151,3396,3357,10256
CWIX,ControlPlane,1,36,41,1.5277777777777777,9,146,1875,2022,2084,4628
Quest ,DataPlane,1,20,31,1.3,4,72,1823,1956,1969,4273
Quest ,ControlPlane,1,20,31,1.3,4,72,1016,1072,1128,2184
SpiraLight,DataPlane,1,15,16,1.1333333333333333,3,49,1846,1944,1970,3362
SpiraLight,ControlPlane,1,15,16,1.1333333333333333,3,49,748,776,808,1144
IBM,DataPlane,1,18,24,1.2222222222222223,2,62,2245,2364,2387,3971
IBM,ControlPlane,1,18,24,1.2222222222222223,2,62,906,948,1000,1768
EvoLink,DataPlane,1,37,45,1.4324324324324325,11,143,3924,4176,4292,14886
EvoLink,ControlPlane,1,37,45,1.4324324324324325,11,143,1902,2028,2184,5304
GARR,DataPlane,1,24,26,1.75,7,108,1411,1572,1513,7498
GARR,ControlPlane,1,24,26,1.75,7,108,1292,1432,1444,3796
GARR,DataPlane,1,22,24,1.7272727272727273,6,98,1353,1500,1447,6894
GARR,ControlPlane,1,22,24,1.7272727272727273,6,98,1182,1308,1320,3432
CESNET,DataPlane,1,39,44,1.6153846153846154,9,165,2734,3000,2870,9518
CESNET,ControlPlane,1,39,44,1.6153846153846154,9,165,2054,2236,2252,4940
Darkstrand ,DataPlane,1,28,31,1.1428571428571428,2,92,4023,4212,4297,6937
Darkstrand ,ControlPlane,1,28,31,1.1428571428571428,2,92,1386,1428,1508,2132
Xeex,DataPlane,1,24,34,1.375,6,90,2131,2292,2241,5008
Xeex,ControlPlane,1,24,34,1.375,6,90,1229,1306,1344,2496
KentMan,DataPlane,1,16,17,1.4375,5,62,1467,1572,1505,3374
KentMan,ControlPlane,1,16,17,1.4375,5,62,831,894,892,1612
NORDU,DataPlane,1,7,6,1.4285714285714286,4,27,414,456,426,1104
NORDU,ControlPlane,1,7,6,1.4285714285714286,4,27,371,406,392,728
TWAREN,DataPlane,1,20,20,1.7,6,88,1247,1380,1357,7518
TWAREN,ControlPlane,1,20,20,1.7,6,88,1072,1184,1216,3328
BT North America,DataPlane,1,36,76,1.5,6,144,2911,3156,3097,9147
BT North America,ControlPlane,1,36,76,1.5,6,144,1868,2008,2068,4420
IINET ,DataPlane,1,31,35,1.6774193548387097,7,135,2070,2280,2246,10397
IINET ,ControlPlane,1,31,35,1.6774193548387097,7,135,1649,1810,1860,4836
Oxford,DataPlane,1,20,26,1.35,4,74,2015,2148,2101,4092
Oxford,ControlPlane,1,20,26,1.35,4,74,1023,1086,1108,1924
RoEduNet,DataPlane,1,48,52,1.4375,5,186,4843,5172,5305,18159
RoEduNet,ControlPlane,1,48,52,1.4375,5,186,2465,2626,2788,6292
Missouri Network Alliance ,DataPlane,1,67,83,1.3582089552238805,4,249,8778,9240,10114,41470
Missouri Network Alliance ,ControlPlane,1,67,83,1.3582089552238805,4,249,3398,3580,4036,10660
SWITCH,DataPlane,0,42,63,1.5714285714285714,8,174,3325,3612,3599,13499
SWITCH,ControlPlane,0,42,63,1.5714285714285714,8,174,2198,2380,2484,6084
SANET,DataPlane,1,43,45,1.3255813953488371,6,157,5586,5880,6246,22995
SANET,ControlPlane,1,43,45,1.3255813953488371,6,157,2176,2288,2552,6344
CESNET,DataPlane,1,29,33,1.5517241379310345,10,119,2204,2400,2352,8231
CESNET,ControlPlane,1,29,33,1.5517241379310345,10,119,1518,1644,1692,3900
Sinet,DataPlane,1,74,76,1.7972972972972974,15,340,4733,5244,5403,42981
Sinet,ControlPlane,1,74,76,1.7972972972972974,15,340,3979,4406,4748,15548
CUDI,DataPlane,1,51,52,1.6862745098039216,11,223,3418,3768,3810,20906
CUDI,ControlPlane,1,51,52,1.6862745098039216,11,223,2707,2966,3136,8944
Network USA ,DataPlane,1,35,39,1.2285714285714286,4,121,4970,5208,5390,9809
Network USA ,ControlPlane,1,35,39,1.2285714285714286,4,121,1750,1820,1928,3224
DataXchange,DataPlane,1,6,11,1.3333333333333333,3,22,361,396,355,547
DataXchange,ControlPlane,1,6,11,1.3333333333333333,3,22,316,344,324,468
GTS Slovakia,DataPlane,1,35,37,1.7428571428571429,13,157,2186,2424,2374,11647
GTS Slovakia,ControlPlane,1,35,37,1.7428571428571429,13,157,1876,2072,2116,5668
CESNET,DataPlane,1,52,63,1.7115384615384615,16,230,3615,3972,3805,13783
CESNET,ControlPlane,1,52,63,1.7115384615384615,16,230,2769,3042,3056,7280
ARPANET,DataPlane,1,18,22,1.2222222222222223,3,62,2677,2796,2843,7021
ARPANET,ControlPlane,1,18,22,1.2222222222222223,3,62,906,948,1020,2028
LATNET,DataPlane,0,69,74,1.5942028985507246,29,289,6340,6816,6776,19064
LATNET,ControlPlane,0,69,74,1.5942028985507246,29,289,3613,3914,3988,8788
GARR,DataPlane,1,16,18,1.625,5,68,1035,1140,1097,4379
GARR,ControlPlane,1,16,18,1.625,5,68,852,936,940,2236
Syringa Networks,DataPlane,1,74,74,1.2837837837837838,7,264,15581,16092,18023,79661
Syringa Networks,ControlPlane,1,74,74,1.2837837837837838,7,264,3713,3874,4616,13832
Columbus Networks,DataPlane,1,70,85,1.3,4,252,9273,9756,10463,32334
Columbus Networks,ControlPlane,1,70,85,1.3,4,252,3521,3682,4100,9620
CESNET,DataPlane,1,13,12,1.4615384615384615,4,51,972,1056,1016,3275
CESNET,ControlPlane,1,13,12,1.4615384615384615,4,51,680,736,744,1560
Renater,DataPlane,1,24,27,1.5416666666666667,7,98,1987,2148,2113,6914
Renater,ControlPlane,1,24,27,1.5416666666666667,7,98,1257,1362,1400,3224
CESNET,DataPlane,1,39,44,1.6153846153846154,9,165,2734,3000,2870,9518
CESNET,ControlPlane,1,39,44,1.6153846153846154,9,165,2054,2236,2252,4940
GTS Romania,DataPlane,1,21,24,1.5238095238095237,10,85,1492,1632,1552,3874
GTS Romania,ControlPlane,1,21,24,1.5238095238095237,10,85,1099,1190,1188,2340
GARR,DataPlane,1,23,25,1.7391304347826086,7,103,1406,1560,1502,7144
GARR,ControlPlane,1,23,25,1.7391304347826086,7,103,1237,1370,1380,3588
China Telecom ,DataPlane,1,42,66,1.7142857142857142,16,186,2797,3084,2935,10706
China Telecom ,ControlPlane,1,42,66,1.7142857142857142,16,186,2240,2464,2464,5824
Sprint,DataPlane,1,11,18,1.4545454545454546,5,43,722,792,734,1703
Sprint,ControlPlane,1,11,18,1.4545454545454546,5,43,577,626,612,1092
Vision Net,DataPlane,0,24,23,1.25,2,84,3379,3540,3689,11537
Vision Net,ControlPlane,0,24,23,1.25,2,84,1208,1264,1384,3016
GEANT,DataPlane,1,40,61,1.475,7,158,3603,3876,3801,10058
GEANT,ControlPlane,1,40,61,1.475,7,158,2067,2214,2260,4420
SWITCH,DataPlane,1,74,92,1.472972972972973,6,292,9005,9516,9971,42498
SWITCH,ControlPlane,1,74,92,1.472972972972973,6,292,3811,4070,4484,12116
Hibernia Atlantic (UK),DataPlane,1,15,15,1.1333333333333333,2,49,2038,2136,2134,2998
Hibernia Atlantic (UK),ControlPlane,1,15,15,1.1333333333333333,2,49,748,776,796,988
Hostway International,DataPlane,1,16,21,1.25,3,56,1851,1956,1989,4684
Hostway International,ControlPlane,1,16,21,1.25,3,56,810,852,888,1560
Renater,DataPlane,1,33,43,1.5454545454545454,9,135,2512,2736,2712,9865
Renater,ControlPlane,1,33,43,1.5454545454545454,9,135,1724,1864,1940,4628
CESNET,DataPlane,1,23,23,1.608695652173913,10,97,1646,1800,1754,6503
CESNET,ControlPlane,1,23,23,1.608695652173913,10,97,1216,1328,1356,3276
MREN,DataPlane,0,6,5,1.5,4,24,313,348,319,1000
MREN,ControlPlane,0,6,5,1.5,4,24,323,358,340,676
ANS,DataPlane,1,18,25,1.2222222222222223,2,62,2197,2316,2319,4414
ANS,ControlPlane,1,18,25,1.2222222222222223,2,62,906,948,992,1664
Lambdanet ,DataPlane,1,42,46,1.2857142857142858,4,150,6637,6924,7411,24429
Lambdanet ,ControlPlane,1,42,46,1.2857142857142858,4,150,2114,2212,2528,6656
Restena,DataPlane,1,19,21,1.4736842105263157,6,75,1434,1560,1522,4243
Restena,ControlPlane,1,19,21,1.4736842105263157,6,75,989,1066,1080,2184
GARR,DataPlane,1,23,25,1.7391304347826086,6,103,1406,1560,1506,7347
GARR,ControlPlane,1,23,25,1.7391304347826086,6,103,1237,1370,1384,3640
Viatel,DataPlane,1,92,96,1.076086956521739,2,290,32471,33108,36609,65169
Viatel,ControlPlane,1,92,96,1.076086956521739,2,290,4479,4542,5128,9256
Layer42,DataPlane,1,6,7,1.3333333333333333,3,22,361,396,371,854
Layer42,ControlPlane,1,6,7,1.3333333333333333,3,22,316,344,332,572
Shentel ,DataPlane,1,28,35,1.2142857142857142,3,96,4215,4404,4609,10220
Shentel ,ControlPlane,1,28,35,1.2142857142857142,3,96,1400,1456,1568,2912
AARNET,DataPlane,1,19,24,1.3157894736842106,3,69,2106,2232,2202,4758
AARNET,ControlPlane,1,19,24,1.3157894736842106,3,69,968,1024,1060,1924
JGN2plus-Japan,DataPlane,1,18,17,1.5,7,72,1333,1452,1455,6330
JGN2plus-Japan,ControlPlane,1,18,17,1.5,7,72,941,1018,1072,2704
Renater,DataPlane,1,24,23,1.4583333333333333,9,94,2083,2244,2333,8291
Renater,ControlPlane,1,24,23,1.4583333333333333,9,94,1243,1334,1428,3588
Renater,DataPlane,1,43,56,1.4651162790697674,6,169,4338,4632,4606,12348
Renater,ControlPlane,1,43,56,1.4651162790697674,6,169,2218,2372,2468,5252
