Topology,Where,IsBackBone,Number of Nodes,Number of Edges,Replication Average per Node,Max Replication,State Overhead,MPolka CRC8,MPolka CRC16,MPINT,INT Clássico
Isis,DataPlane,1,7,6,1.1428571428571428,2,23,606,648,618,1156
Isis,ControlPlane,1,7,6,1.1428571428571428,2,23,495,516,521,713
NORDU,DataPlane,1,14,13,1.7142857142857142,9,62,785,876,819,3260
NORDU,ControlPlane,1,14,13,1.7142857142857142,9,62,1308,1392,1384,2488
Hibernia Atlantic (Canada),DataPlane,1,13,14,1.3076923076923077,2,47,1308,1392,1364,3030
Hibernia Atlantic (Canada),ControlPlane,1,13,14,1.3076923076923077,2,47,942,984,1010,1634
RNP,DataPlane,1,31,34,1.3870967741935485,5,117,3990,4200,4574,24119
RNP,ControlPlane,1,31,34,1.3870967741935485,5,117,2230,2328,2618,6794
CESNET,DataPlane,1,39,44,1.6153846153846154,9,165,2734,3000,2870,9518
CESNET,ControlPlane,1,39,44,1.6153846153846154,9,165,3250,3432,3474,6162
Vision Net,DataPlane,0,24,23,1.25,2,84,3379,3540,3689,11537
Vision Net,ControlPlane,0,24,23,1.25,2,84,1576,1632,1760,3392
Darkstrand ,DataPlane,1,28,31,1.1428571428571428,2,92,4023,4212,4297,6937
Darkstrand ,ControlPlane,1,28,31,1.1428571428571428,2,92,1662,1704,1790,2414
GTS Romania,DataPlane,1,21,24,1.5238095238095237,10,85,1492,1632,1552,3874
GTS Romania,ControlPlane,1,21,24,1.5238095238095237,10,85,1697,1788,1799,2951
JGN2plus-Japan,DataPlane,1,18,17,1.5,7,72,1333,1452,1455,6330
JGN2plus-Japan,ControlPlane,1,18,17,1.5,7,72,1447,1524,1589,3221
Bell South ,DataPlane,1,51,66,1.6470588235294117,14,219,3658,4008,4094,22144
Bell South ,ControlPlane,1,51,66,1.6470588235294117,14,219,4303,4548,4781,10589
Hibernia Atlantic ,DataPlane,1,55,81,1.3454545454545455,4,203,8046,8424,9078,30658
Hibernia Atlantic ,ControlPlane,1,55,81,1.3454545454545455,4,203,3753,3900,4243,8995
Renater,DataPlane,1,24,27,1.5416666666666667,7,98,1987,2148,2113,6914
Renater,ControlPlane,1,24,27,1.5416666666666667,7,98,1947,2052,2105,3929
MREN,DataPlane,0,6,5,1.5,4,24,313,348,319,1000
MREN,ControlPlane,0,6,5,1.5,4,24,553,588,575,911
GTS Slovakia,DataPlane,1,35,37,1.7428571428571429,13,157,2186,2424,2374,11647
GTS Slovakia,ControlPlane,1,35,37,1.7428571428571429,13,157,3164,3360,3432,6984
Sprint,DataPlane,1,11,18,1.4545454545454546,5,43,722,792,734,1703
Sprint,ControlPlane,1,11,18,1.4545454545454546,5,43,899,948,941,1421
Navigata ,DataPlane,1,13,17,1.6153846153846154,4,55,828,912,892,4389
Navigata ,ControlPlane,1,13,17,1.6153846153846154,4,55,1154,1224,1246,2446
Renater,DataPlane,1,43,56,1.4651162790697674,6,169,4338,4632,4606,12348
Renater,ControlPlane,1,43,56,1.4651162790697674,6,169,3230,3384,3502,6286
PIONIER,DataPlane,1,36,41,1.25,2,126,4687,4932,5173,12166
PIONIER,ControlPlane,1,36,41,1.25,2,126,2311,2388,2541,4365
IRIS Networks ,DataPlane,1,51,64,1.3333333333333333,5,187,5578,5928,5962,12898
IRIS Networks ,ControlPlane,1,51,64,1.3333333333333333,5,187,3455,3588,3733,5989
LATNET,DataPlane,0,69,74,1.5942028985507246,29,289,6340,6816,6776,19064
LATNET,ControlPlane,0,69,74,1.5942028985507246,29,289,5591,5892,6009,10809
NapNet,DataPlane,0,6,7,1.1666666666666667,2,20,457,492,459,750
NapNet,ControlPlane,0,6,7,1.1666666666666667,2,20,447,468,465,609
Viatel,DataPlane,1,92,96,1.076086956521739,2,290,32471,33108,36609,65169
Viatel,ControlPlane,1,92,96,1.076086956521739,2,290,4893,4956,5551,9679
Restena,DataPlane,1,19,21,1.4736842105263157,6,75,1434,1560,1522,4243
Restena,ControlPlane,1,19,21,1.4736842105263157,6,75,1495,1572,1597,2701
GARR,DataPlane,1,24,26,1.75,7,108,1411,1572,1513,7498
GARR,ControlPlane,1,24,26,1.75,7,108,2212,2352,2384,4736
Claranet,DataPlane,1,15,18,1.4666666666666666,5,59,1078,1176,1158,3592
Claranet,ControlPlane,1,15,18,1.4666666666666666,5,59,1197,1260,1287,2295
Electric Lightwave,DataPlane,1,20,30,1.35,4,74,1871,2004,1945,3936
Electric Lightwave,ControlPlane,1,20,30,1.35,4,74,1437,1500,1531,2347
Xeex,DataPlane,1,24,34,1.375,6,90,2131,2292,2241,5008
Xeex,ControlPlane,1,24,34,1.375,6,90,1735,1812,1861,3013
CESNET,DataPlane,1,44,51,1.6818181818181819,15,192,2951,3252,3089,10607
CESNET,ControlPlane,1,44,51,1.6818181818181819,15,192,3808,4032,4064,7328
Hibernia Atlantic (Ireland),DataPlane,1,8,8,1.25,3,28,659,708,661,901
Hibernia Atlantic (Ireland),ControlPlane,1,8,8,1.25,3,28,596,624,616,760
Abilene,DataPlane,1,11,14,1.0909090909090908,2,35,1538,1608,1598,2738
Abilene,ControlPlane,1,11,14,1.0909090909090908,2,35,687,708,737,1025
CESNET,DataPlane,1,23,23,1.608695652173913,10,97,1646,1800,1754,6503
CESNET,ControlPlane,1,23,23,1.608695652173913,10,97,1952,2064,2108,4028
GTS Poland,DataPlane,1,33,37,1.3636363636363635,6,123,3856,4080,4068,9531
GTS Poland,ControlPlane,1,33,37,1.3636363636363635,6,123,2326,2424,2514,4194
GlobalCenter,DataPlane,1,9,36,1.6666666666666667,7,39,472,528,456,792
GlobalCenter,ControlPlane,1,9,36,1.6666666666666667,7,39,856,912,872,1208
EvoLink,DataPlane,1,37,45,1.4324324324324325,11,143,3924,4176,4292,14886
